# Name of benchmark/experiment: FILLET Experiment 2a (cold start, au)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
110 1.3442554085276202 70.0 280.0 259.62934822485664 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 182.95869644971341
111 1.306122448979592 70.0 280.0 257.0343416557937 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 177.7686833115875
112 1.2695893671890497 70.0 280.0 254.54820922971842 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.7964184594369
113 1.2345679012345678 70.0 280.0 252.16485986355633 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 168.0297197271127
114 1.2009757928316758 70.0 280.0 249.87887187665723 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.4577437533145
115 1.168736303871439 70.0 280.0 247.68484336213666 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.06968672427337
116 1.1377777777777778 70.0 280.0 245.5780817445551 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.85616348911026
117 1.10803324099723 70.0 280.0 243.5539334297285 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.80786685945708
118 1.0794400404790014 70.0 280.0 241.60805331612312 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.91610663224623
119 1.0519395134779752 70.0 280.0 239.7366205877321 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.17324117546426
120 1.5624999999999996 80.0 280.0 374.16789953256915 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 412.03579906513835
121 1.5147928994082842 80.0 280.0 367.87762210825787 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 399.4552442165157
122 1.4692378328741966 80.0 280.0 361.8710618066574 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 387.4421236133146
123 1.4257072844731566 80.0 280.0 356.1315508983728 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.9631017967456
124 1.384083044982699 80.0 280.0 350.6433411850722 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 364.98668237014436
125 1.3442554085276202 80.0 280.0 345.39195750452615 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 354.48391500905245
126 1.306122448979592 80.0 280.0 257.03446846545404 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 177.76893693090813
127 1.2695893671890497 80.0 280.0 254.54833249243129 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.79666498486262
128 1.2345679012345678 80.0 280.0 252.16497972572895 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 168.02995945145798
129 1.2009757928316758 80.0 280.0 249.87898847742713 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.45797695485427
130 1.168736303871439 80.0 280.0 247.68495683241593 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.06991366483192
131 1.1377777777777778 80.0 280.0 245.57819220913277 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.8563844182656
132 1.10803324099723 80.0 280.0 243.5540410064683 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.80808201293667
133 1.0794400404790014 80.0 280.0 241.6081581163387 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.91631623267747
134 1.0519395134779752 80.0 280.0 239.73672271798821 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.17344543597648
135 1.5624999999999996 90.0 280.0 374.16901277744137 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 412.03802555488267
136 1.5147928994082842 90.0 280.0 367.87871937973034 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 399.4574387594609
137 1.4692378328741966 90.0 280.0 361.8721399787448 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 387.4442799574897
138 1.4257072844731566 90.0 280.0 356.13251946578976 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.96503893157967
139 1.384083044982699 90.0 280.0 350.64423989900035 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 364.9884797980008
140 1.3442554085276202 90.0 280.0 345.39293560655796 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 354.485871213116
141 1.306122448979592 90.0 280.0 257.0641230253616 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 177.8282460507233
142 1.2695893671890497 90.0 280.0 254.54879428714545 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 172.79758857429096
143 1.2345679012345678 90.0 280.0 252.16542878057115 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 168.03085756114234
144 1.2009757928316758 90.0 280.0 249.8794253136632 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.45885062732643
145 1.168736303871439 90.0 280.0 247.68538194050143 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.07076388100293
146 1.1377777777777778 90.0 280.0 245.5786060565774 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.85721211315487
147 1.10803324099723 90.0 280.0 243.55444403484023 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 150.80888806968053
148 1.0794400404790014 90.0 280.0 241.60855074266954 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.91710148533915
149 1.0519395134779752 90.0 280.0 239.7371053415115 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 143.17421068302306
