# Name of benchmark/experiment: FILLET Experiment 2 (cold start)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
142 1.275 70.0 280.0 254.9164111173668 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 173.53282223473366
143 1.3 70.0 280.0 256.6176995826606 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 176.93539916532114
144 1.325 70.0 280.0 258.3189880479543 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 180.33797609590866
145 1.35 70.0 280.0 260.0505135357568 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 183.80102707151366
146 1.375 70.0 280.0 349.4453865141427 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 362.59077302828547
147 1.4 70.0 280.0 352.7417217254454 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 369.18344345089093
148 1.425 70.0 280.0 356.0380432838961 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.7760865677923
149 1.45 70.0 280.0 359.3342770035954 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 382.3685540071908
150 1.475 70.0 280.0 362.63053185338174 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 388.9610637067636
151 1.5 70.0 280.0 365.92682885578887 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 395.5536577115777
152 1.05 80.0 280.0 239.60464776532478 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.90929553064962
153 1.075 80.0 280.0 241.30600940034492 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.3120188006899
154 1.1 80.0 280.0 243.00728170530897 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.714563410618
155 1.125 80.0 280.0 244.70864919196995 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.11729838393998
156 1.15 80.0 280.0 246.4099290081581 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.51985801631622
157 1.175 80.0 280.0 248.1112984483071 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.92259689661427
158 1.2 80.0 280.0 249.81258437302822 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.32516874605645
159 1.225 80.0 280.0 251.5138702977493 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.72774059549866
160 1.25 80.0 280.0 253.21515622247037 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.1303124449408
161 1.275 80.0 280.0 254.91653490539068 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 173.53306981078146
162 1.3 80.0 280.0 256.6178257979006 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 176.93565159580123
163 1.325 80.0 280.0 342.8531014230977 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 349.4062028461956
164 1.35 80.0 280.0 346.14940289987555 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 355.9988057997511
165 1.375 80.0 280.0 349.4457102903059 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 362.5914205806118
166 1.4 80.0 280.0 352.7419903974571 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 369.1839807949142
167 1.425 80.0 280.0 356.0382831580953 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.77656631619055
168 1.45 80.0 280.0 359.334538910161 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 382.369077820322
169 1.475 80.0 280.0 362.6308365058464 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 388.9616730116927
170 1.5 80.0 280.0 365.9271203658216 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 395.55424073164323
171 1.05 90.0 280.0 239.60502968129583 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 142.91005936259174
172 1.075 90.0 280.0 241.30640041169326 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 146.31280082338657
173 1.1 90.0 280.0 243.0076818099445 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 149.715363619889
174 1.125 90.0 280.0 244.70905839171382 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 153.11811678342764
175 1.15 90.0 280.0 246.41034730122956 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 156.52069460245923
176 1.175 90.0 280.0 248.11172583625316 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 159.92345167250633
177 1.2 90.0 280.0 249.8130208543348 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 163.3260417086697
178 1.225 90.0 280.0 251.51431587241643 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 166.7286317448329
179 1.25 90.0 280.0 253.21561089049808 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 170.1312217809962
180 1.275 90.0 280.0 254.91699866814406 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 173.53399733628817
181 1.3 90.0 280.0 256.61829865404127 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 176.93659730808258
182 1.325 90.0 280.0 342.8540475335351 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 349.4080950670704
183 1.35 90.0 280.0 346.150380161603 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 356.00076032320607
184 1.375 90.0 280.0 349.4466879170917 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 362.5933758341836
185 1.4 90.0 280.0 352.7429728711444 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 369.1859457422889
186 1.425 90.0 280.0 356.03926128396154 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 375.77852256792306
