# Name of benchmark/experiment: FILLET Experiment 4 (CO₂ bifurcation)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses 0.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob Branch
71 1.0 23.5 138.94954943731375 234.33029670349552 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640768 warming
72 1.0 23.5 175.7510624854791 234.95880845081777 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640748 warming
73 1.0 23.5 222.29964825261956 235.58732019814022 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1092243964077 warming
74 1.0 23.5 281.1768697974231 236.21583194546253 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640754 warming
75 1.0 23.5 355.64803062231283 236.844343692785 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1092243964078 warming
76 1.0 23.5 449.8432668969444 237.47285544010728 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640768 warming
77 1.0 23.5 568.9866029018299 238.10136718742973 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640782 warming
78 1.0 23.5 719.6856730011522 238.72987893475204 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640774 warming
79 1.0 23.5 910.2981779915218 239.35839068207446 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640794 warming
80 1.0 23.5 1151.395399326447 239.98690242939676 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1092243964078 warming
81 1.0 23.5 1456.3484775012444 240.61541417671918 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640797 warming
82 1.0 23.5 1842.0699693267163 241.2439259240415 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640785 warming
83 1.0 23.5 2329.951810515372 241.87243767136385 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640782 warming
84 1.0 23.5 2947.0517025518097 242.50094941868608 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1092243964076 warming
85 1.0 23.5 3727.593720314942 243.1294611660085 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1092243964077 warming
86 1.0 23.5 4714.866363457395 243.75797291333083 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640765 warming
87 1.0 23.5 5963.623316594642 244.38648466065322 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640777 warming
88 1.0 23.5 7543.120063354615 245.01499640797556 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640774 warming
89 1.0 23.5 9540.954763499944 245.64350815529798 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1092243964078 warming
90 1.0 23.5 12067.92640639329 246.2720199026203 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.1092243964078 warming
91 1.0 23.5 15264.179671752334 246.90053164994268 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640785 warming
92 1.0 23.5 19306.977288832495 247.52904339726504 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640788 warming
93 1.0 23.5 24420.5309454865 248.15755514458743 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640794 warming
94 1.0 23.5 30888.435964774784 248.78606689190977 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640794 warming
95 1.0 23.5 39069.39937054621 249.41457863923213 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640794 warming
96 1.0 23.5 49417.13361323838 250.0430903865545 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640794 warming
97 1.0 23.5 62505.51925273976 250.67160213387686 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640794 warming
98 1.0 23.5 79060.43210907701 251.30011388119925 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640802 warming
99 1.0 23.5 100000.0 251.92862562852162 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 136.10922439640805 warming
